ObjectID,Status
1,Moving
2,Still
3,Still
4,Still
5,Still
6,Still
7,Still
8,Still
9,Still
10,Still
11,Still
12,Still
13,Still
14,Moving
15,Still
16,Moving
17,Still
18,Still
19,Moving
20,Still
21,Moving
22,Moving
23,Moving
24,Still
25,Moving
26,Still
27,Still
28,Moving
29,Moving
30,Moving
31,Still
32,Moving
33,Moving
34,Moving
35,Moving
36,Moving
37,Moving
39,Moving
42,Moving
43,Moving
44,Moving
45,Still
47,Moving
49,Moving
52,Moving
53,Moving
54,Moving
55,Moving
57,Still
59,Moving
60,Moving
62,Moving
63,Moving
64,Moving
65,Moving
66,Moving
67,Moving
69,Moving
70,Moving
73,Moving
76,Moving
77,Moving
80,Moving
81,Moving
82,Still
83,Still
85,Moving
88,Still
89,Still
90,Still
91,Moving
94,Moving
95,Still
96,Moving
97,Moving
99,Moving
100,Moving
103,Still
104,Still
105,Still
106,Moving
108,Moving
110,Moving
111,Moving
115,Moving
116,Moving
117,Moving
118,Moving
120,Moving
122,Moving
123,Moving
124,Moving
125,Moving
126,Moving
128,Moving
131,Moving
133,Moving
135,Moving
136,Moving
137,Moving
138,Moving
140,Moving
141,Moving
142,Moving
143,Moving
144,Moving
145,Moving
148,Moving
150,Moving
155,Moving
157,Moving
158,Moving
161,Moving
162,Moving
163,Moving
164,Moving
165,Moving
166,Moving
167,Moving
168,Moving
171,Moving
172,Moving
173,Moving
174,Moving
176,Moving
177,Moving
181,Moving
182,Moving
183,Moving
184,Moving
186,Moving
187,Moving
188,Moving
190,Moving
191,Moving
192,Moving
193,Moving
195,Moving
199,Moving
201,Moving
203,Moving
204,Moving
205,Moving
206,Moving
207,Moving
208,Moving
209,Moving
210,Moving
211,Moving
212,Moving
213,Moving
214,Moving
215,Moving
216,Moving
219,Moving
220,Moving
221,Moving
222,Moving
223,Moving
225,Moving
226,Moving
227,Moving
228,Moving
229,Moving
231,Moving
233,Moving
234,Moving
237,Moving
238,Moving
239,Moving
240,Moving
241,Moving
242,Moving
243,Moving
244,Moving
246,Moving
248,Moving
249,Moving
253,Moving
255,Moving
256,Moving
257,Moving
258,Moving
259,Moving
260,Moving
263,Moving
265,Moving
